step,t_0.050,t_0.097,t_0.145,t_0.192,t_0.239,t_0.287,t_0.334,t_0.382,t_0.429,t_0.476,t_0.524,t_0.571,t_0.618,t_0.666,t_0.713,t_0.761,t_0.808,t_0.855,t_0.903,t_0.950
5000,1564805.750000,1978796.625000,2544685.750000,3351816.250000,4554165.000000,6423449.500000,9450244.000000,14538780.000000,23386880.000000,39238224.000000,68394480.000000,123308088.000000,229144352.000000,438821248.000000,871553856.000000,1825232128.000000,4172633600.000000,11449420800.000000,54373343232.000000,427733516288.000000
10000,1207659.375000,1459448.250000,1842056.000000,2444195.750000,3419961.250000,5043789.500000,7815474.000000,12665448.000000,21367458.000000,37395064.000000,67756136.000000,127059208.000000,246982192.000000,499993728.000000,1064718336.000000,2434263040.000000,6252236800.000000,19960492032.000000,99316023296.000000,1119883624448.000000
15000,543828.500000,621064.500000,737785.812500,916475.312500,1194981.250000,1638362.625000,2360800.000000,3567642.250000,5637536.500000,9290864.000000,15941738.000000,28465788.000000,52929496.000000,102650784.000000,208365232.000000,445328960.000000,1022747392.000000,2720196352.000000,11165018112.000000,207167225856.000000
20000,287040.187500,318932.781250,364923.812500,431971.593750,531211.437500,681041.812500,912293.750000,1278447.875000,1875347.875000,2880105.250000,4631525.000000,7815473.500000,13873808.000000,25995868.000000,52059508.000000,112361464.000000,261710128.000000,680873792.000000,2379586816.000000,31231444992.000000
25000,209263.156250,229595.750000,256158.343750,291800.687500,340906.500000,410493.468750,512288.812500,666441.937500,908916.500000,1306720.000000,1991600.000000,3237848.250000,5649706.000000,10640187.000000,21709680.000000,47953188.000000,114757232.000000,304007360.000000,1020196096.000000,10314609664.000000
30000,219569.593750,245236.687500,276753.562500,316378.218750,367473.531250,435251.062500,528206.437500,660772.812500,858359.687500,1167741.625000,1679944.375000,2581100.250000,4273886.000000,7680884.500000,15032540.000000,32020048.000000,74181144.000000,190210272.000000,606290176.000000,5121435648.000000
35000,224984.203125,254615.000000,290161.406250,333423.625000,387291.156250,455957.906250,546913.812500,672158.812500,852562.250000,1126409.125000,1568640.750000,2332713.250000,3749601.000000,6572467.500000,12605115.000000,26403042.000000,60212912.000000,151037376.000000,459044992.000000,3447688192.000000
40000,253143.843750,287275.781250,326534.656250,372573.281250,427664.218750,495366.875000,580584.687500,693579.250000,850639.437500,1082507.000000,1450404.875000,2080397.500000,3248166.000000,5592874.000000,10670936.000000,22477172.000000,51887500.000000,131487544.000000,397679712.000000,2838945280.000000
45000,240320.750000,266127.468750,294772.375000,327478.593750,365837.406250,412351.437500,470858.843750,548838.937500,658268.875000,822548.062500,1087614.250000,1550417.875000,2426699.250000,4222577.500000,8186482.500000,17558678.000000,41152760.000000,105144224.000000,316504192.000000,2195695360.000000
50000,287061.937500,306519.093750,327083.625000,349495.906250,374710.406250,404627.406250,441608.375000,490713.312500,560916.625000,668920.562500,847215.187500,1165232.875000,1782776.625000,3083911.250000,6031295.500000,13192215.000000,31753928.000000,83806248.000000,260560608.000000,1822588416.000000
55000,210230.875000,221689.593750,232538.859375,243926.781250,256658.921875,272024.812500,292941.812500,322020.187500,365393.687500,435838.718750,558082.875000,784599.125000,1232898.125000,2193892.250000,4424878.500000,9999063.000000,25025258.000000,69520992.000000,233916384.000000,1829386752.000000
60000,175236.484375,181175.828125,186858.328125,193094.937500,200050.531250,209770.765625,224862.750000,248092.812500,284480.906250,343785.718750,446652.468750,635183.437500,1008852.875000,1802526.125000,3626544.500000,8181595.000000,20662240.000000,59111340.000000,210108480.000000,1740242560.000000
65000,170177.921875,180235.125000,190076.093750,201209.453125,213551.234375,230235.562500,252351.765625,284773.875000,333200.093750,409501.437500,536910.812500,765311.125000,1204239.000000,2110620.750000,4154765.500000,9211109.000000,22907124.000000,64596876.000000,223570864.000000,1746218112.000000
70000,170607.171875,179447.734375,190366.343750,203863.953125,220951.218750,243836.671875,273750.062500,315513.031250,377652.562500,473902.781250,631635.500000,909918.500000,1426922.000000,2473567.500000,4796452.500000,10458503.000000,25862530.000000,73512776.000000,262132048.000000,2081122688.000000
75000,183564.203125,196994.437500,212082.703125,230364.671875,251933.640625,278837.406250,314402.343750,363578.093750,433362.156250,539686.500000,711425.500000,1005182.437500,1545879.375000,2609914.250000,4895344.500000,10362750.000000,25125092.000000,71346768.000000,260186224.000000,2211235072.000000
80000,176268.125000,191046.453125,207995.343750,227591.687500,250662.640625,278825.156250,314947.437500,363037.750000,431039.875000,533369.562500,694511.687500,966235.187500,1461874.500000,2437547.750000,4560931.000000,9746840.000000,24211980.000000,71464784.000000,271406976.000000,2330019584.000000
